trafonr;lat;lon;conductivity;conductivity total;naam;;verbonden trafo;alle aansluitingen
1;53.424940;6.874347;1.00E+00;3.33E-01;Eemshaven;;2,202,206,395;1,2,209,210,211,212,437
2;53.123503;6.949827;1.00E+00;3.33E-01;Meeden;;1,3,4,206;1,2,3,4,5,6,213,214
3;53.126049;7.310705;1.00E+00;3.33E-01;Diele (D);;2,40,43;3,4,71,79
4;52.529782;6.189824;1.00E+00;3.33E-01;Zwolle;;2,5,36;5,6,7,63,64
5;52.617055;5.808525;1.00E+00;3.33E-01;Ens;;4,6,205,207;7,8,208,215
6;52.576278;5.538661;1.00E+00;3.33E-01;Lelystad;;5,7;8,9,10,11
7;52.337015;5.013914;1.00E+00;3.33E-01;Diemen;;6,8,11;9,10,11,12,18
8;52.428927;4.876241;1.00E+00;3.33E-01;Oostzaan;;7,9,12;12,13,15,16,17
9;52.472859;4.678975;1.00E+00;3.33E-01;Beverwijk;;8,10;13,14
10;52.373850;4.695112;1.00E+00;3.33E-01;Vijfhuizen;;9;14
11;52.160264;4.987889;1.00E+00;3.33E-01;Breukelen;;7,12;18,19
12;51.914190;4.630619;1.00E+00;3.33E-01;Krimpen;;8,11,13,19,20;15,16,17,19,20,29,30,31
13;52.036229;4.529422;1.00E+00;3.33E-01;Bleiswijk;;12,14;20,21,22
14;52.015933;4.306742;1.00E+00;3.33E-01;Wateringen;;13,15;21,22,23
15;51.982486;4.223998;1.00E+00;3.33E-01;Westerlee;;14,16;23,24
16;51.959484;4.162632;1.00E+00;3.33E-01;Hoek van Holland;;15,17;24,25
17;51.955790;4.021997;1.00E+00;3.33E-01;Maasvlakte;;16,18,394;25,26,436
18;51.839252;4.265566;1.00E+00;3.33E-01;Simonshaven;;17,19;26,27,28
19;51.813679;4.747686;1.00E+00;3.33E-01;Crayestein;;12,18;27,28,29
20;51.701049;4.832798;1.00E+00;3.33E-01;Geertruidenberg;;12,21,22,30;30,31,32,33,34,35,39,40,51
21;51.433162;3.730082;1.00E+00;3.33E-01;Borssele;;20,22;32,33,34,35,36,37,38
22;51.369835;4.247843;1.00E+00;3.33E-01;Zandvliet (B);;20,21,23;36,37,38,39,40,41
23;51.322719;4.254694;1.00E+00;3.33E-01;Doel (B);;22,24;41,42
24;51.154687;4.246158;1.00E+00;3.33E-01;Mercator (B);;23,25,26,46,371,372,374;42,43,84,86,403,404,407
25;51.116792;4.508993;1.00E+00;3.33E-01;Lint (B);;24,46;43,85
26;51.195732;4.628061;1.00E+00;3.33E-01;Massenhoven (B);;24,27,46;44,45,86
27;51.107373;5.062391;1.00E+00;3.33E-01;Meerhout (B);;26,28;45,46,47
28;51.121040;5.774052;1.00E+00;3.33E-01;Van Eyck (B);;27,29,377,379;46,47,48,430,431,435
29;51.148499;5.918134;1.00E+00;3.33E-01;Maasbracht;;28,30,31,32,33,44;48,49,50,52,54,55,56,57,80
30;51.446359;5.532725;1.00E+00;3.33E-01;Eindhoven;;20,29;49,50,51
31;50.912060;6.216822;1.00E+00;3.33E-01;Siersdorf (D);;29,32;52,53
32;50.871952;6.456534;1.00E+00;3.33E-01;Oberzier (D);;29,31,340,362,363,364;53,54,357,393,394,395
33;51.926762;5.663534;1.00E+00;3.33E-01;Dodewaard;;29,34,44;55,56,57,58,59,81,82
34;51.981568;6.251842;1.00E+00;3.33E-01;Langerak;;33,35,36;58,59,60,61,62
35;51.647022;6.680221;1.00E+00;3.33E-01;Niederrhein (D);;34,42,335,336;60,77,78,348,350
36;52.248786;6.757987;1.00E+00;3.33E-01;Hengelo;;4,34,37;61,62,63,64,65
37;52.201575;7.034520;1.00E+00;3.33E-01;Gronau (D);;36,38,41;65,66,67,75
