kabelnr;strtlat;strtlon;eindlat;eindlon;kab/3;Volt;;heading;length old;length;weerstand/m;resistance;conductivity old;conductivity;radians lat1;radians lon1;radians lat2;radians lon2;diff lat;dif lon;a
1;53.424940;6.874347;53.322816;6.816949;8;380;;18.6;11977.0411886263;18400.0;3.00E-05;0.255;2.78310250489808;3.93;0.932441105680419;0.119979989074595;0.930658705635113;0.118978204990535;-0.000891200022653;-0.00050089204203;8.83534997183686E-07
2;53.322816;6.816949;53.123503;6.949827;8;380;;-21.8;23862.772025473;18400.0;3.00E-05;0.255;1.39687599151309;3.93;0.930658705635113;0.118978204990535;0.927180037543085;0.121297363594;-0.001739334046014;0.001159579301733;3.50724476121194E-06
3;53.123503;6.949827;53.152180;7.138878;6;380;;75.7;13007.5385523091;21000.0;3.00E-05;0.326;2.5626165318892;3.07;0.927180037543085;0.121297363594;0.92768054561268;0.124596925998188;0.000250254034797;0.001649781202094;1.04211318607117E-06
4;53.152180;7.138878;53.126049;7.310705;6;380;;-75.8;11823.9434409089;4500.0;3.00E-05;0.326;2.81913842872468;3.07;0.92768054561268;0.124596925998188;0.927224473625841;0.127595872892012;-0.000228035993419;0.001499473446912;8.61091616733674E-07
5;53.123503;6.949827;52.873088;7.014978;8;380;;-8.9;28184.1549782115;53925.0;3.00E-05;0.749;1.18269763131456;1.34;0.927180037543085;0.121297363594;0.922809471296704;0.122434463054967;-0.002185283123191;0.000568549730483;4.8925370907928E-06
6;52.873088;7.014978;52.529782;6.189824;8;380;;55.9;67442.1726402965;53925.0;3.00E-05;0.749;0.494250585773934;1.34;0.922809471296704;0.122434463054967;0.916817651254852;0.108032808918965;-0.002995910020926;-0.007200827068001;2.80145627301654E-05
7;52.529782;6.189824;52.617055;5.808525;6;380;;-69.2;27534.219092778;32000.0;3.00E-05;0.810;1.21061480701577;1.23;0.916817651254852;0.108032808918965;0.918340852452945;0.101377885934404;0.000761600599047;-0.003327461492281;4.66949215574254E-06
8;52.617055;5.808525;52.576278;5.538661;6;380;;76.1;18782.7069449422;21000.0;3.00E-05;0.492;1.77468207490238;2.03;0.918340852452945;0.101377885934404;0.917629159543859;0.096667870601802;-0.000355846454543;-0.002355007666301;2.17290554905967E-06
9;52.576278;5.538661;52.502958;5.539959;6;380;;-0.6;8153.28460658292;16810.0;3.00E-05;0.393;4.0883318738095;2.54;0.917629159543859;0.096667870601802;0.916349484136297;0.096690524975493;-0.000639837703781;1.13271868454404E-05;4.09439694251649E-07
10;52.502958;5.539959;52.314530;5.106721;6;380;;54.7;36091.5236906144;16810.0;3.00E-05;0.393;0.923577891004962;2.54;0.916349484136297;0.096690524975493;0.913060795133349;0.089129095430737;-0.001644344501474;-0.003780714772378;8.02294973947261E-06
11;52.314530;5.106721;52.337015;5.013914;6;380;;-68.3;6784.56839871188;16810.0;3.00E-05;0.393;4.91311036670542;2.54;0.913060795133349;0.089129095430737;0.91345323241566;0.087509307711839;0.000196218641155;-0.000809893859449;2.83510539097698E-07
12;52.337015;5.013914;52.428927;4.876241;3;380;;-42.4;13847.8260931026;15200.0;3.00E-05;0.355;2.40711669176263;2.82;0.91345323241566;0.087509307711839;0.915057399437753;0.085106460570741;0.000802083511046;-0.001201423570549;1.18110315392898E-06
13;52.428927;4.876241;52.472859;4.678975;6;380;;-69.8;14232.6647854046;17000.0;3.00E-05;0.400;2.34203038123375;2.50;0.915057399437753;0.085106460570741;0.915824157484739;0.081663519368502;0.000383379023493;-0.00172147060112;1.24766232009712E-06
14;52.472859;4.678975;52.373850;4.695112;8;380;;-5.7;11063.5439070699;14310.0;3.00E-05;0.220;3.01289836360956;4.55;0.915824157484739;0.081663519368502;0.914096124445632;0.081945163149896;-0.000864016519554;0.000140821890697;7.53899086124413E-07
15;52.428927;4.876241;52.336962;5.013906;3;380;;-42.4;13851.8136571762;25176.3;3.00E-05;0.566;2.40642374769923;1.77;0.913452307391156;0.087509168085499;0.915057399437753;0.085106460570741;0.000802546023298;-0.001201353757379;1.18178346298446E-06
16;52.336962;5.013906;52.074582;4.917517;3;380;;12.7;29905.538380251;25176.3;3.00E-05;0.566;1.11462074046278;1.77;0.913452307391156;0.087509168085499;0.908872912499774;0.085826862672794;-0.002289697445691;-0.000841152706352;5.50842260266838E-06
17;52.074582;4.917517;51.914190;4.630619;3;380;;47.9;26531.6169937857;25176.3;3.00E-05;0.566;1.25636267631712;1.77;0.908872912499774;0.085826862672794;0.906073544005915;0.080819547955407;-0.001399684246929;-0.002503657358693;4.33562397720865E-06
18;52.337015;5.013914;52.160264;4.987889;3;380;;5.2;19733.5094066482;20010.0;3.00E-05;0.470;1.68917411730644;2.13;0.91345323241566;0.087509307711839;0.910368345509468;0.087055085774008;-0.001542443453096;-0.000227110968916;2.39846345384318E-06
19;52.160264;4.987889;51.914190;4.630619;3;380;;41.9;36686.3502855461;37520.0;3.00E-05;0.890;0.90860314732551;1.12;0.910368345509468;0.087055085774008;0.906073544005915;0.080819547955407;-0.002147400751776;-0.0031177689093;8.28958168364495E-06
20;51.914190;4.630619;52.036229;4.529422;8;380;;28.5;49644.4459208385;18560.0;3.00E-05;0.283;0.671441340819589;3.53;0.915057399437753;0.085106460570741;0.908203526371756;0.079053327112267;-0.003426936532998;-0.003026566729237;1.51797261538039E-05
21;52.036229;4.529422;51.975776;4.338136;8;380;;62.9;14718.1074781649;11000.0;3.00E-05;0.088;2.26478393249847;11.36;0.908203526371756;0.079053327112267;0.907148422479048;0.075714756599297;-0.000527551946354;-0.001669285256485;1.33422337609348E-06
22;51.975776;4.338136;52.015933;4.306742;8;380;;-25.7;4955.63775876604;11000.0;3.00E-05;0.088;6.72634582186116;11.36;0.907148422479048;0.075714756599297;0.907849294346772;0.075166827933926;0.000350435933862;-0.000273964332686;1.51259925887719E-07
